,processed_review,Registration Issues,Notification Issues,Slack Desktop/Mobile App Issues,Interface Issues
0,Literally impossible to log in You can only log in via Magic Links in which you must have access to the email on the same device I can not access my work email on an external device for security reasons and verifying my email on another device will still not allow my mobile device to sign in In response to developer comment: No there is no option to log in with email/password Clicking log in manually ONLY provides a field for Workspace URL which always fails and says not valid,0.006772046209377172,0.006782879921532238,0.0067388808591551455,0.9797061930099354
1,Notifications are utterly terrible especially if youre ever using the app on more than one platform I understand that theyre trying to monitize but the history limit makes the usability of this for anything important a joke Speaking of money considering that you can get Teams for free what they want for paid accounts is ridiculous The app on most platforms has massive overhead and barely works how do you not have gif integration but you can completely redo the graphics every 3 months,0.007639520535662522,0.007706204098319547,0.9768540717391673,0.007800203626850518
2,Unable to login using Google SSO Have reset app cache data cache reinstalled restarted Logo just freezes while trying to auth An app force quit and restart produces a forever bouncing slack logo on the next attempt,0.5063156565705537,0.010117277903030398,0.23853404967265032,0.24503301585376555
3,Constantly freezes and stops Wont let you type messages Keeps sending self to home screen Wont let you update status  you can push the button 50 times with no result Desktop app is fine Mobile simply nonfunctional,0.3643799415776388,0.009721546325185815,0.26830140317125434,0.357597108925921
4,Setting status to active seems to have no effect in mobile app status and perhaps others also do not see me as active as a result Changing status to active in desktop edition does not propagate to mobile app,0.016447723718902,0.015810154201968404,0.9525907360696944,0.015151386009435263
5,If the app was working correctly it would be a success because I just love all the features it offers but my desktop version keeps freezing and not working Hopefully they can fix and improve the app because it is worth it,0.013660908183442002,0.013667132724498019,0.9587449953981467,0.013926963693913443
6,It was working well and then it stopped Now I cant see the same channels on my phone that are on my laptop and this is after I uninstalled and then reinstalled it,0.03265657279810603,0.03230448845286801,0.9003549363651843,0.034684002383841686
7,If you are removed from a server then try to access it the app will always display invalid authentication You cannot go back to any other servers youre in Closing the app will not reset this,0.733441648505903,0.2278064410109603,0.019326311352137724,0.0194255991309991
8,We have been using an archaic listserv app and it is getting quite noisy This is a refreshing change,0.03825573708876357,0.8837505429920303,0.038691216615092255,0.03930250330411395
9,Ever since the latest Android update I am unable to post anything in slack It allows me to write what I want to post but when I try to post it it does nothing Im highly frustrated,0.015892830110030953,0.015617250405989228,0.9525228848792625,0.015967034604717295
10,I cant log in After entering my login info it takes me back to the main screen which asks me sign in manually again Please fix,0.023274664622977084,0.023367464862675085,0.02407890555426228,0.9292789649600856
11,Returning to the app from the launcher icon starts it from scratch It should simply resume it as any app does same how it resumes from Recents menu Pixel 5 android 12,0.9334253413091366,0.021575851021731273,0.022606125785136117,0.022392681883995992
12,Not suitable for Android users I cant even log in to Slack using this mobile app and have been trying for the past three months now to no avail Every time I try to log in I get taken to my phone settings with no instructional messages or prompts So I have no idea what Im supposed to be doing in my settings to get it to work Please do better If we sign in via desktop the mobile process should be seamlessbut it isntterrible,0.008716737789779196,0.00855696113929983,0.008782010064900871,0.9739442910060201
13,I have a real problem getting alerts on my phone with this app The alerts are on but sometimes I get them anywhere from a few hours late to a few days late then the alert doesnt always clear after viewing so it looks like I have alerts that I dont have This is problematic because I use this for work and its the primary way my work contacts me as we are decentralized Please help,0.01010785533936991,0.010473334723922149,0.009645581438845328,0.9697732284978626
14,This app is little more than a read/reply version of the desktop version There are no options for customization sorting deleting channels/threads etc Unread channels conveniently move to the top of the stack so you need to scroll all over the place to find a channel If I didnt need to stay connected to work conversations if delete immediately,0.5330714909915557,0.44728578747247394,0.009845607059193816,0.009797114476776477
15,This app has a good bit of features that are nice Like theme personalization and having a personal thread for quick notes It also syncs settings instantly between devices However its a battery hog when open and in the background Huddles are nearly useless on my Duo When I open a thread the prompt to join a huddle often crashes the whole app And when someone stops a screen share in a huddle it crashes Contacted support  Im not hopeful despite them being very kind,0.0067838577942105375,0.006838992134393219,0.006677280285993253,0.979699869785403
16,I feel like Android app recent update made organization of channels worse Just one flat group of everything  where are the custom sections and ways to organize In an enterprise with hundreds of channels its useless and almost impossible to find the channels I need to monitor,0.011641719629984781,0.9649562476250378,0.011932815510495376,0.011469217234482165
17,A mess Interface is not user friendly  everything is really confusing to get a handle of  and its so *buggy*  sign in not working  screens flashing  buttons not working  etc  to bosses and teachers everywhere: for the love of the people in your group  DONT USE THIS  just make a discord server or something  same thing but less buggy and A LOT easier to use  trust me  your group will thank you ,0.008407981840551432,0.00853351546261175,0.9743869120090815,0.008671590687755406
